Name,CPU,CPU_Type ,CPU_GEN ,GPU ,"GPU_Type(builtin_0,separate_1)",GPU_Capacity ,Screen_Size,Screen_Resolution ,"RAM(DDR3,DDr4,DDR5) ",RAM_Capacity ,Hard 1,Hard 2,"Hard_Type (HDD,SSD,M.2)",Body_Type,Body_Status,Price
ASUS,RYZEN 5,X,10,NVIDIA 230MX,1,2 GB,15.6,FHD,DDR4,8 GB,256 GB,0 GB,M.2,Aluminum,Very good,450
HP,i 5,U,8,MX 110,1,2 GB,15.6,FHD,DDR4,8 GB,256 GB,0 GB,M.2,Plastic,Very good,385
HP,i 5,U,8,MX 130,1,2 GB,15.6,FHD,DDR4,8 GB,128 GB,750 GB,SSD,Aluminum,Very good,415
LENOVO,i 7,U,8,AMD RADEON R7,1,2 GB,15.6,FHD,DDR4,8 GB,128 GB,1024 GB,SSD,Plastic,Very good,495
HP,i 7,U,7,GTX 1050,1,4 GB,15.6,FHD,DDR4,12 GB,256 GB,0 GB,SSD,Plastic,Not bad ,505
CASPER,i 5,U,8,MX 130,1,2 GB,15.6,HD,DDR4,8 GB,256 GB,0 GB,SSD,Aluminum,Very good,345
LENOVO,i 5,U,8,AMD R5,1,2 GB,15.6,HD,DDR4,8 GB,256 GB,0 GB,SSD,Aluminum,Very good,385
HP,i 5,U,10,MX 110,1,2 GB,15.6,FHD,DDR4,8 GB,256 GB,0 GB,M.2,Plastic,Good,480
HP,i 7,U,7,GTX 1050,1,4 GB,15.6,FHD,DDR4,16 GB,256 GB,0 GB,SSD,Plastic,Good,520
HP,i 5,P,7,AMD R7,1,4 GB,15.6,FHD,DDR4,8 GB,256 GB,0 GB,SSD,Plastic,Good,380
CASPER,i 5,U,8,MX 940,1,2 GB,15.6,FHD,DDR4,8 GB,256 GB,0 GB,SSD,Aluminum,Very good,350
ACER,RYZEN 5,U,10,RADEON X 540,1,2 GB,15.6,FHD,DDR4,8 GB,256 GB,0 GB,M.2,Plastic,Good,390
LENOVO,i 7,G,11,INTEL XE,0,4 GB,14.0,FHD,DDR4,16 GB,256 GB,0 GB,M.2,Plastic,Very good,810
LENOVO,i 5,U,8,AMD R5,1,2 GB,14.0,FHD,DDR4,12 GB,256 GB,1024 GB,M.2,Plastic,Good,365
ASUS,i 5,U,8,MX 930,1,2 GB,15.6,FHD,DDR4,12 GB,1024 GB,0 GB,HDD,Aluminum,Very good,390
LENOVO,RYZEN 5,H,11,GTX 1650,1,4 GB,15.6,FHD,DDR4,8 GB,512 GB,0 GB,SSD,Plastic,Very good,650
HP,i 5,U,8,MX 940,1,2 GB,15.6,FHD,DDR4,12 GB,128 GB,1024 GB,M.2,Aluminum,Very good,400
HP,i 5,U,8,MX 130,1,4 GB,15.6,FHD,DDR4,8 GB,128 GB,0 GB,M.2,Aluminum,Very good,385
HP,RYZEN 3,U,10,AMD RADEON 620,1,2 GB,15.6,FHD,DDR4,8 GB,256 GB,0 GB,SSD,Aluminum,Very good,335
HP,RYZEN 7,H,11,GTX 1660 Ti,1,6 GB,15.6,FHD,DDR4,8 GB,512 GB,0 GB,M.2,Plastic,Very good,750
HP,i 5,H,9,GTX 1660 Ti,1,6 GB,15.6,FHD,DDR4,8 GB,512 GB,0 GB,M.2,Plastic,Very good,700
HP,i 7,U,10,MX 150,1,4 GB,15.6,FHD,DDR4,8 GB,128 GB,1024 GB,M.2,Plastic,Good,540
CASPER,i 5,U,8,MX 110,1,2 GB,14.0,FHD,DDR4,4 GB,1024 GB,0 GB,HDD,Aluminum,Very good,325
LENOVO,i 5,U,8,MX 150,1,2 GB,15.6,HD,DDR4,8 GB,256 GB,1024 GB,M.2,Plastic,Not bad ,360
ACER,RYZEN 5,U,10,AMD R7,1,2 GB,15.6,FHD,DDR4,8 GB,256 GB,0 GB,M.2,Plastic,Very good,380
HP,i 3,G,11,intel UHDGraphics,0,2 GB,15.6,FHD,DDR4,8 GB,256 GB,0 GB,SSD,Plastic,Very good,360
LENOVO,i 5,U,8,RADEON 530,1,2 GB,15.6,FHD,DDR4,12 GB,256 GB,1024 GB,M.2,Plastic,Good,360
LENOVO,i 5,U,7,AMD R7,1,2 GB,14.0,HD,DDR4,8 GB,256 GB,512 GB,M.2,Plastic,Good,325
HP,i 5,G,11,MX 350,1,2 GB,15.6,FHD,DDR4,8 GB,256 GB,0 GB,M.2,Aluminum,Very good,540
ACER,RYZEN 3,U,10,RADEON 530,1,2 GB,15.6,HD,DDR4,8 GB,512 GB,0 GB,SSD,Plastic,Good,315
ACER,RYZEN 5,U,10,AMD R7,1,4 GB,15.6,FHD,DDR4,8 GB,256 GB,0 GB,SSD,Plastic,Very good,400
ACER,i 5,P,5,AMD R7,1,2 GB,15.6,FHD,DDR4,8 GB,128 GB,1024 GB,SSD,Plastic,Not bad ,305
LENOVO,i 7,U,8,MX 110,1,2 GB,15.6,FHD,DDR4,8 GB,256 GB,0 GB,SSD,Plastic,Very good,470
ASUS,RYZEN 7,H,11,GTX 1650,1,4 GB,15.6,FHD,DDR4,8 GB,512 GB,0 GB,M.2,Plastic,Very good,730
ASUS,i 3,G,10,intel UHDGraphics,0,2 GB,15.6,FHD,DDR4,4 GB,256 GB,0 GB,SSD,Aluminum,Very good,305
HP,RYZEN 7,H,11,GTX 1660 Ti,1,6 GB,15.6,FHD,DDR4,4 GB,512 GB,0 GB,M.2,Plastic,Very good,810
LENOVO,RYZEN 3,U,10,RADEON 535,1,2 GB,15.6,FHD,DDR4,8 GB,1024 GB,0 GB,HDD,Aluminum,Very good,315
DELL,i 5,G,10,MX 230,1,2 GB,15.6,FHD,DDR4,8 GB,128 GB,320 GB,SSD,Aluminum,Very good,460
HP,i 5,H,9,GTX 1660 Ti,1,6 GB,15.6,FHD,DDR4,8 GB,512 GB,0 GB,M.2,Plastic,Very good,755
HP,RYZEN 3,U,10,RADEON 530,1,2 GB,15.6,FHD,DDR4,8 GB,256 GB,0 GB,M.2,Plastic,Very good,315
HP,i 7,H,10,RTX 2060,1,6 GB,15.6,FHD,DDR4,8 GB,512 GB,0 GB,M.2,Plastic,Very good,1050
CASPER,i 7,U,6,GTX 950M,1,4 GB,15.6,HD,DDR4,8 GB,128 GB,0 GB,SSD,Aluminum,Very good,375
ACER,RYZEN 5,U,10,RADEON 540X,1,2 GB,15.6,FHD,DDR4,8 GB,256 GB,0 GB,M.2,Plastic,Very good,350
HP,i 5,P,7,AMD R7,1,4 GB,15.6,FHD,DDR4,8 GB,128 GB,1024 GB,SSD,Plastic,Very good,315
