Name,CPU,CPU_Type ,CPU_GEN ,GPU ,"GPU_Type(builtin_0,separate_1)",GPU_Capacity ,Screen_Size,Screen_Resolution ,"RAM(DDR3,DDr4,DDR5) ",RAM_Capacity ,Hard 1,Hard 2,"Hard_Type (HDD,SSD,M.2)",Body_Type,Body_Status,Price
CASPER,i 5,U,8,NVIDIA 940MX,1,2 GB,15.6,HD,DDR4,8 GB,128 GB,1024 GB,M.2,Aluminum,Very good,435
HP,i 5,G,11,INTEL XE,0,4 GB,17.3,FHD,DDR4,8 GB,512 GB,0 GB,M.2,Aluminum,Very good,550
HP,i 7,G,11,INTEL XE,0,6 GB,15.6,FHD,DDR4,16 GB,512 GB,0 GB,M.2,Aluminum,Very good,690
HP,i 5,U,6,AMD R5,1,2 GB,15.6,FHD,DDR4,8 GB,256 GB,0 GB,SSD,Aluminum,Good,245
ASUS,i 5,U,7,NVIDIA 930 MX,1,2 GB,15.6,FHD,DDR4,8 GB,128 GB,0 GB,M.2,Aluminum,Good,295
DELL,i 5,H,8,GTX 1050,1,4 GB,15.6,FHD,DDR4,8 GB,256 GB,0 GB,SSD,Plastic,Good,475
HP,i 5,U,4,NVIDIA 840M,1,2 GB,15.6,FHD,DDR3,4 GB,128 GB,0 GB,SSD,Plastic,Not bad ,225
HP,i 3 ,U,6,AMD Radeon R5,1,2 GB,15.6,HD,DDR4,4 GB,256 GB,0 GB,SSD,Plastic,Not bad ,260
ACER,i 5,G,10,MX 330,1,4 GB,15.6,HD,DDR4,8 GB,500 GB,0 GB,M.2,Aluminum,Very good,455
LENOVO,i 7,U,6,AMD Radeon R5,1,2 GB,15.6,HD,DDR3,8 GB,256 GB,0 GB,SSD,Plastic,Not bad ,370
ASUS,i 5,U,7,NVIDIA 920M,1,2 GB,15.6,HD,DDR3,8 GB,128 GB,0 GB,SSD,Plastic,Not bad ,325
